location1,location2,traveltime
Stiftsbibliothek Admont Preservation,Mondsee Waterfront Perimeter,75
Stiftsbibliothek Admont Preservation,Eisriesenwelt Ice Cave,77
Stiftsbibliothek Admont Preservation,Styrian Armoury,75
Salzburg Cathedral,Hallstatt Village Perimeter,43
Salzburg Cathedral,Linz Castle,89
Salzburg Cathedral,Salzkammergut Lake District,34
Salzburg Cathedral,Zell am See Valley of Serenity,36
Salzburg Cathedral,Hohensalzburg Castle,5
Salzburg Cathedral,Kufstein Fortress,60
Salzburg Cathedral,Mondsee Waterfront Perimeter,21
Salzburg Cathedral,Eisriesenwelt Ice Cave,22
Esterhazy Palace,Melk Abbey Sanctuary Zone,84
Esterhazy Palace,Wachau Valley Green Zone,79
Esterhazy Palace,FH St Poelten Campus Data Zone,65
Esterhazy Palace,Durnstein Village Survivers Area,77
Esterhazy Palace,Styrian Armoury,89
Hallein Salt Mine,Hallstatt Village Perimeter,37
Hallein Salt Mine,Linz Castle,89
Hallein Salt Mine,Salzkammergut Lake District,30
Hallein Salt Mine,Zell am See Valley of Serenity,31
Hallein Salt Mine,Hohensalzburg Castle,9
Hallein Salt Mine,Kufstein Fortress,63
Hallein Salt Mine,Mondsee Waterfront Perimeter,20
Hallein Salt Mine,Eisriesenwelt Ice Cave,14
Hallein Salt Mine,Stiftsbibliothek Admont Preservation,88
Hallein Salt Mine,Salzburg Cathedral,9
Alpbach Village Towers,Innsbruck Old Town,38
Alpbach Village Towers,Hall in Tirol Medical Center,31
Alpbach Village Towers,Zell am See Valley of Serenity,57
Alpbach Village Towers,Hohensalzburg Castle,78
Alpbach Village Towers,Kufstein Fortress,19
Alpbach Village Towers,Eisriesenwelt Ice Cave,89
Alpbach Village Towers,Seefeld in Tirol,51
Alpbach Village Towers,Salzburg Cathedral,78
Alpbach Village Towers,Hallein Salt Mine,79
Werfen Ice Caves,Hallstatt Village Perimeter,32
Werfen Ice Caves,Salzkammergut Lake District,31
Werfen Ice Caves,Zell am See Valley of Serenity,28
Werfen Ice Caves,Hohensalzburg Castle,23
Werfen Ice Caves,Kufstein Fortress,68
Werfen Ice Caves,Mondsee Waterfront Perimeter,28
Werfen Ice Caves,Eisriesenwelt Ice Cave,9
Werfen Ice Caves,Stiftsbibliothek Admont Preservation,83
Werfen Ice Caves,Salzburg Cathedral,24
Werfen Ice Caves,Hallein Salt Mine,15
Werfen Ice Caves,Alpbach Village Towers,82
Kitzbuhel Town,Innsbruck Old Town,68
Kitzbuhel Town,Hallstatt Village Perimeter,84
Kitzbuhel Town,Salzkammergut Lake District,79
Kitzbuhel Town,Hall in Tirol Medical Center,60
Kitzbuhel Town,Zell am See Valley of Serenity,28
Kitzbuhel Town,Hohensalzburg Castle,49
Kitzbuhel Town,Kufstein Fortress,18
Kitzbuhel Town,Mondsee Waterfront Perimeter,69
Kitzbuhel Town,Eisriesenwelt Ice Cave,59
Kitzbuhel Town,Seefeld in Tirol,80
Kitzbuhel Town,Salzburg Cathedral,49
Kitzbuhel Town,Hallein Salt Mine,50
Kitzbuhel Town,Alpbach Village Towers,30
Kitzbuhel Town,Werfen Ice Caves,53
Seefeld Castle,Innsbruck Old Town,15
Seefeld Castle,Hall in Tirol Medical Center,21
Seefeld Castle,St Anton am Arlberg,63
Seefeld Castle,Kufstein Fortress,67
Seefeld Castle,Seefeld in Tirol,5
Seefeld Castle,Alpbach Village Towers,51
Seefeld Castle,Kitzbuhel Town,80
Piber Stud Farm Zone,Melk Abbey Sanctuary Zone,81
Piber Stud Farm Zone,FH St Poelten Campus Data Zone,85
Piber Stud Farm Zone,Klagenfurt Cathedral Zone,62
Piber Stud Farm Zone,Styrian Armoury,20
Piber Stud Farm Zone,Stiftsbibliothek Admont Preservation,60
Hochosterwitz Castle,Hallstatt Village Perimeter,82
Hochosterwitz Castle,Klagenfurt Cathedral Zone,21
Hochosterwitz Castle,Styrian Armoury,60
Hochosterwitz Castle,Stiftsbibliothek Admont Preservation,54
Hochosterwitz Castle,Piber Stud Farm Zone,41
Hinterglemm Village,Innsbruck Old Town,79
Hinterglemm Village,Hallstatt Village Perimeter,72
Hinterglemm Village,Salzkammergut Lake District,69
Hinterglemm Village,Hall in Tirol Medical Center,72
Hinterglemm Village,Zell am See Valley of Serenity,16
Hinterglemm Village,Hohensalzburg Castle,42
Hinterglemm Village,Kufstein Fortress,30
Hinterglemm Village,Mondsee Waterfront Perimeter,60
Hinterglemm Village,Eisriesenwelt Ice Cave,49
Hinterglemm Village,Salzburg Cathedral,42
Hinterglemm Village,Hallein Salt Mine,41
Hinterglemm Village,Alpbach Village Towers,42
Hinterglemm Village,Werfen Ice Caves,41
Hinterglemm Village,Kitzbuhel Town,13
Waidhofen an der Ybbs,Melk Abbey Sanctuary Zone,41
Waidhofen an der Ybbs,Hallstatt Village Perimeter,80
Waidhofen an der Ybbs,Linz Castle,39
Waidhofen an der Ybbs,Wachau Valley Green Zone,52
Waidhofen an der Ybbs,FH St Poelten Campus Data Zone,58
Waidhofen an der Ybbs,Salzkammergut Lake District,83
Waidhofen an der Ybbs,Durnstein Village Survivers Area,58
Waidhofen an der Ybbs,Styrian Armoury,74
Waidhofen an der Ybbs,Stiftsbibliothek Admont Preservation,36
Waidhofen an der Ybbs,Piber Stud Farm Zone,68
Waidhofen an der Ybbs,Hochosterwitz Castle,81
Fuschl am See,Hallstatt Village Perimeter,27
Fuschl am See,Linz Castle,72
Fuschl am See,Salzkammergut Lake District,15
Fuschl am See,Zell am See Valley of Serenity,48
Fuschl am See,Hohensalzburg Castle,19
Fuschl am See,Kufstein Fortress,79
Fuschl am See,Mondsee Waterfront Perimeter,5
Fuschl am See,Eisriesenwelt Ice Cave,17
Fuschl am See,Stiftsbibliothek Admont Preservation,75
Fuschl am See,Salzburg Cathedral,19
Fuschl am See,Hallein Salt Mine,18
Fuschl am See,Werfen Ice Caves,24
Fuschl am See,Kitzbuhel Town,67
Fuschl am See,Hinterglemm Village,58
Ellmau Village Quarantaine Area,Innsbruck Old Town,64
Ellmau Village Quarantaine Area,Hallstatt Village Perimeter,88
Ellmau Village Quarantaine Area,Salzkammergut Lake District,83
Ellmau Village Quarantaine Area,Hall in Tirol Medical Center,57
Ellmau Village Quarantaine Area,Zell am See Valley of Serenity,35
Ellmau Village Quarantaine Area,Hohensalzburg Castle,51
Ellmau Village Quarantaine Area,Kufstein Fortress,11
Ellmau Village Quarantaine Area,Mondsee Waterfront Perimeter,71
Ellmau Village Quarantaine Area,Eisriesenwelt Ice Cave,64
Ellmau Village Quarantaine Area,Seefeld in Tirol,76
Ellmau Village Quarantaine Area,Salzburg Cathedral,51
Ellmau Village Quarantaine Area,Hallein Salt Mine,53
Ellmau Village Quarantaine Area,Alpbach Village Towers,27
Ellmau Village Quarantaine Area,Werfen Ice Caves,58
Ellmau Village Quarantaine Area,Kitzbuhel Town,8
Ellmau Village Quarantaine Area,Seefeld Castle,76
Ellmau Village Quarantaine Area,Hinterglemm Village,20
Ellmau Village Quarantaine Area,Fuschl am See,69
Eggenberg Palace Graz,Melk Abbey Sanctuary Zone,78
Eggenberg Palace Graz,Wachau Valley Green Zone,86
Eggenberg Palace Graz,FH St Poelten Campus Data Zone,77
Eggenberg Palace Graz,Klagenfurt Cathedral Zone,79
Eggenberg Palace Graz,Durnstein Village Survivers Area,90
Eggenberg Palace Graz,Styrian Armoury,5
Eggenberg Palace Graz,Stiftsbibliothek Admont Preservation,74
Eggenberg Palace Graz,Piber Stud Farm Zone,18
Eggenberg Palace Graz,Hochosterwitz Castle,59
Eggenberg Palace Graz,Waidhofen an der Ybbs,74
Hohenwerfen Castle,Hallstatt Village Perimeter,31
Hohenwerfen Castle,Salzkammergut Lake District,30
Hohenwerfen Castle,Zell am See Valley of Serenity,29
Hohenwerfen Castle,Hohensalzburg Castle,23
Hohenwerfen Castle,Kufstein Fortress,68
Hohenwerfen Castle,Mondsee Waterfront Perimeter,27
Hohenwerfen Castle,Eisriesenwelt Ice Cave,8
Hohenwerfen Castle,Stiftsbibliothek Admont Preservation,83
Hohenwerfen Castle,Salzburg Cathedral,23
Hohenwerfen Castle,Hallein Salt Mine,14
Hohenwerfen Castle,Alpbach Village Towers,83
Hohenwerfen Castle,Werfen Ice Caves,5
Hohenwerfen Castle,Kitzbuhel Town,53
Hohenwerfen Castle,Hinterglemm Village,42
Hohenwerfen Castle,Fuschl am See,23
Hohenwerfen Castle,Ellmau Village Quarantaine Area,58
Saalbach Hinterglemm Isolation Zone,Innsbruck Old Town,83
Saalbach Hinterglemm Isolation Zone,Hallstatt Village Perimeter,68
Saalbach Hinterglemm Isolation Zone,Salzkammergut Lake District,65
Saalbach Hinterglemm Isolation Zone,Hall in Tirol Medical Center,76
Saalbach Hinterglemm Isolation Zone,Zell am See Valley of Serenity,12
Saalbach Hinterglemm Isolation Zone,Hohensalzburg Castle,38
Saalbach Hinterglemm Isolation Zone,Kufstein Fortress,34
Saalbach Hinterglemm Isolation Zone,Mondsee Waterfront Perimeter,56
Saalbach Hinterglemm Isolation Zone,Eisriesenwelt Ice Cave,44
Saalbach Hinterglemm Isolation Zone,Salzburg Cathedral,38
Saalbach Hinterglemm Isolation Zone,Hallein Salt Mine,36
Saalbach Hinterglemm Isolation Zone,Alpbach Village Towers,46
Saalbach Hinterglemm Isolation Zone,Werfen Ice Caves,37
Saalbach Hinterglemm Isolation Zone,Kitzbuhel Town,17
Saalbach Hinterglemm Isolation Zone,Hinterglemm Village,5
Saalbach Hinterglemm Isolation Zone,Fuschl am See,54
Saalbach Hinterglemm Isolation Zone,Ellmau Village Quarantaine Area,23
Saalbach Hinterglemm Isolation Zone,Hohenwerfen Castle,37
Steyr Fortified Old Town,Melk Abbey Sanctuary Zone,62
Steyr Fortified Old Town,Hallstatt Village Perimeter,60
Steyr Fortified Old Town,Linz Castle,20
Steyr Fortified Old Town,Wachau Valley Green Zone,72
Steyr Fortified Old Town,FH St Poelten Campus Data Zone,80
Steyr Fortified Old Town,Salzkammergut Lake District,61
Steyr Fortified Old Town,Durnstein Village Survivers Area,77
Steyr Fortified Old Town,Mondsee Waterfront Perimeter,72
Steyr Fortified Old Town,Eisriesenwelt Ice Cave,82
Steyr Fortified Old Town,Stiftsbibliothek Admont Preservation,32
Steyr Fortified Old Town,Werfen Ice Caves,90
Steyr Fortified Old Town,Piber Stud Farm Zone,84
Steyr Fortified Old Town,Hochosterwitz Castle,85
Steyr Fortified Old Town,Waidhofen an der Ybbs,24
Steyr Fortified Old Town,Fuschl am See,74
Steyr Fortified Old Town,Hohenwerfen Castle,89
Traunsee Island community,Hallstatt Village Perimeter,26
Traunsee Island community,Linz Castle,42
Traunsee Island community,Salzkammergut Lake District,20
Traunsee Island community,Zell am See Valley of Serenity,77
Traunsee Island community,Hohensalzburg Castle,51
Traunsee Island community,Mondsee Waterfront Perimeter,31
Traunsee Island community,Eisriesenwelt Ice Cave,42
Traunsee Island community,Stiftsbibliothek Admont Preservation,48
Traunsee Island community,Salzburg Cathedral,51
Traunsee Island community,Hallein Salt Mine,49
Traunsee Island community,Werfen Ice Caves,50
Traunsee Island community,Hinterglemm Village,89
Traunsee Island community,Waidhofen an der Ybbs,65
Traunsee Island community,Fuschl am See,32
Traunsee Island community,Hohenwerfen Castle,50
Traunsee Island community,Saalbach Hinterglemm Isolation Zone,84
Traunsee Island community,Steyr Fortified Old Town,42
Friesach Castle,Hallstatt Village Perimeter,66
Friesach Castle,Salzkammergut Lake District,81
Friesach Castle,Klagenfurt Cathedral Zone,22
Friesach Castle,Eisriesenwelt Ice Cave,87
Friesach Castle,Styrian Armoury,69
Friesach Castle,Stiftsbibliothek Admont Preservation,43
Friesach Castle,Werfen Ice Caves,90
Friesach Castle,Piber Stud Farm Zone,49
Friesach Castle,Hochosterwitz Castle,16
Friesach Castle,Waidhofen an der Ybbs,73
Friesach Castle,Eggenberg Palace Graz,67
Friesach Castle,Hohenwerfen Castle,90
Friesach Castle,Steyr Fortified Old Town,74
Friesach Castle,Traunsee Island community,77
Gussing Castle,FH St Poelten Campus Data Zone,90
Gussing Castle,Styrian Armoury,59
Gussing Castle,Esterhazy Palace,55
Gussing Castle,Piber Stud Farm Zone,78
Gussing Castle,Eggenberg Palace Graz,60
Villach Botanical Garden,Hallstatt Village Perimeter,64
Villach Botanical Garden,Salzkammergut Lake District,79
Villach Botanical Garden,Zell am See Valley of Serenity,85
Villach Botanical Garden,Klagenfurt Cathedral Zone,29
Villach Botanical Garden,Mondsee Waterfront Perimeter,89
Villach Botanical Garden,Eisriesenwelt Ice Cave,74
Villach Botanical Garden,Stiftsbibliothek Admont Preservation,73
Villach Botanical Garden,Hallein Salt Mine,87
Villach Botanical Garden,Werfen Ice Caves,73
Villach Botanical Garden,Piber Stud Farm Zone,89
Villach Botanical Garden,Hochosterwitz Castle,49
Villach Botanical Garden,Fuschl am See,87
Villach Botanical Garden,Hohenwerfen Castle,74
Villach Botanical Garden,Traunsee Island community,86
Villach Botanical Garden,Friesach Castle,42
Tannberg Castle,Innsbruck Old Town,79
Tannberg Castle,Bregenz Waterfront Enclave,32
Tannberg Castle,Hall in Tirol Medical Center,86
Tannberg Castle,St Anton am Arlberg,18
Tannberg Castle,Seefeld in Tirol,65
Tannberg Castle,Seefeld Castle,65
Rattenberg Glass Fortress,Innsbruck Old Town,40
Rattenberg Glass Fortress,Hall in Tirol Medical Center,34
Rattenberg Glass Fortress,Zell am See Valley of Serenity,60
Rattenberg Glass Fortress,Hohensalzburg Castle,76
Rattenberg Glass Fortress,Kufstein Fortress,16
Rattenberg Glass Fortress,Eisriesenwelt Ice Cave,90
Rattenberg Glass Fortress,Seefeld in Tirol,51
Rattenberg Glass Fortress,Salzburg Cathedral,76
Rattenberg Glass Fortress,Hallein Salt Mine,79
Rattenberg Glass Fortress,Alpbach Village Towers,11
Rattenberg Glass Fortress,Werfen Ice Caves,84
Rattenberg Glass Fortress,Kitzbuhel Town,32
Rattenberg Glass Fortress,Seefeld Castle,51
Rattenberg Glass Fortress,Hinterglemm Village,44
Rattenberg Glass Fortress,Ellmau Village Quarantaine Area,27
Rattenberg Glass Fortress,Hohenwerfen Castle,84
Rattenberg Glass Fortress,Saalbach Hinterglemm Isolation Zone,49
Worthersee,Hallstatt Village Perimeter,73
Worthersee,Salzkammergut Lake District,88
Worthersee,Klagenfurt Cathedral Zone,8
Worthersee,Eisriesenwelt Ice Cave,88
Worthersee,Styrian Armoury,88
Worthersee,Stiftsbibliothek Admont Preservation,65
Worthersee,Werfen Ice Caves,88
Worthersee,Piber Stud Farm Zone,69
Worthersee,Hochosterwitz Castle,28
Worthersee,Eggenberg Palace Graz,86
Worthersee,Hohenwerfen Castle,89
Worthersee,Traunsee Island community,90
Worthersee,Friesach Castle,26
Worthersee,Villach Botanical Garden,22
Hochburg Ach Castle,Hallstatt Village Perimeter,49
Hochburg Ach Castle,Linz Castle,79
Hochburg Ach Castle,Salzkammergut Lake District,35
Hochburg Ach Castle,Zell am See Valley of Serenity,54
Hochburg Ach Castle,Hohensalzburg Castle,20
Hochburg Ach Castle,Kufstein Fortress,72
Hochburg Ach Castle,Mondsee Waterfront Perimeter,21
Hochburg Ach Castle,Eisriesenwelt Ice Cave,35
Hochburg Ach Castle,Salzburg Cathedral,20
Hochburg Ach Castle,Hallein Salt Mine,27
Hochburg Ach Castle,Alpbach Village Towers,90
Hochburg Ach Castle,Werfen Ice Caves,40
Hochburg Ach Castle,Kitzbuhel Town,64
Hochburg Ach Castle,Hinterglemm Village,59
Hochburg Ach Castle,Fuschl am See,23
Hochburg Ach Castle,Ellmau Village Quarantaine Area,64
Hochburg Ach Castle,Hohenwerfen Castle,39
Hochburg Ach Castle,Saalbach Hinterglemm Isolation Zone,56
Hochburg Ach Castle,Steyr Fortified Old Town,86
Hochburg Ach Castle,Traunsee Island community,46
Hochburg Ach Castle,Rattenberg Glass Fortress,87
Fohnsdorf Reinstated Ruin and Coalmine Zone,Melk Abbey Sanctuary Zone,81
Fohnsdorf Reinstated Ruin and Coalmine Zone,Hallstatt Village Perimeter,72
Fohnsdorf Reinstated Ruin and Coalmine Zone,Linz Castle,78
Fohnsdorf Reinstated Ruin and Coalmine Zone,Salzkammergut Lake District,84
Fohnsdorf Reinstated Ruin and Coalmine Zone,Klagenfurt Cathedral Zone,45
Fohnsdorf Reinstated Ruin and Coalmine Zone,Styrian Armoury,52
Fohnsdorf Reinstated Ruin and Coalmine Zone,Stiftsbibliothek Admont Preservation,30
Fohnsdorf Reinstated Ruin and Coalmine Zone,Piber Stud Farm Zone,34
Fohnsdorf Reinstated Ruin and Coalmine Zone,Hochosterwitz Castle,30
Fohnsdorf Reinstated Ruin and Coalmine Zone,Waidhofen an der Ybbs,52
Fohnsdorf Reinstated Ruin and Coalmine Zone,Eggenberg Palace Graz,51
Fohnsdorf Reinstated Ruin and Coalmine Zone,Steyr Fortified Old Town,59
Fohnsdorf Reinstated Ruin and Coalmine Zone,Traunsee Island community,75
Fohnsdorf Reinstated Ruin and Coalmine Zone,Friesach Castle,25
Fohnsdorf Reinstated Ruin and Coalmine Zone,Villach Botanical Garden,65
Fohnsdorf Reinstated Ruin and Coalmine Zone,Worthersee,50
Ehrenhausen Castle,Klagenfurt Cathedral Zone,87
Ehrenhausen Castle,Styrian Armoury,25
Ehrenhausen Castle,Piber Stud Farm Zone,36
Ehrenhausen Castle,Hochosterwitz Castle,69
Ehrenhausen Castle,Eggenberg Palace Graz,25
Ehrenhausen Castle,Friesach Castle,81
Ehrenhausen Castle,Gussing Castle,51
Ehrenhausen Castle,Fohnsdorf Reinstated Ruin and Coalmine Zone,70
Sonnberg Castle,Bregenz Waterfront Enclave,18
Sonnberg Castle,St Anton am Arlberg,50
Sonnberg Castle,Tannberg Castle,45
Riegersburg Castle,Melk Abbey Sanctuary Zone,88
Riegersburg Castle,FH St Poelten Campus Data Zone,81
Riegersburg Castle,Styrian Armoury,30
Riegersburg Castle,Esterhazy Palace,70
Riegersburg Castle,Piber Stud Farm Zone,48
Riegersburg Castle,Hochosterwitz Castle,87
Riegersburg Castle,Eggenberg Palace Graz,31
Riegersburg Castle,Gussing Castle,30
Riegersburg Castle,Fohnsdorf Reinstated Ruin and Coalmine Zone,81
Riegersburg Castle,Ehrenhausen Castle,26
Kornberg Castle,FH St Poelten Campus Data Zone,89
Kornberg Castle,Styrian Armoury,42
Kornberg Castle,Esterhazy Palace,69
Kornberg Castle,Piber Stud Farm Zone,60
Kornberg Castle,Eggenberg Palace Graz,43
Kornberg Castle,Gussing Castle,20
Kornberg Castle,Ehrenhausen Castle,32
Kornberg Castle,Riegersburg Castle,13
Heiligenblut Safe Zone,Hallstatt Village Perimeter,64
Heiligenblut Safe Zone,Salzkammergut Lake District,67
Heiligenblut Safe Zone,Hall in Tirol Medical Center,89
Heiligenblut Safe Zone,Zell am See Valley of Serenity,18
Heiligenblut Safe Zone,Hohensalzburg Castle,51
Heiligenblut Safe Zone,Kufstein Fortress,55
Heiligenblut Safe Zone,Mondsee Waterfront Perimeter,63
Heiligenblut Safe Zone,Eisriesenwelt Ice Cave,45
Heiligenblut Safe Zone,Salzburg Cathedral,51
Heiligenblut Safe Zone,Hallein Salt Mine,45
Heiligenblut Safe Zone,Alpbach Village Towers,62
Heiligenblut Safe Zone,Werfen Ice Caves,37
Heiligenblut Safe Zone,Kitzbuhel Town,38
Heiligenblut Safe Zone,Hinterglemm Village,27
Heiligenblut Safe Zone,Fuschl am See,60
Heiligenblut Safe Zone,Ellmau Village Quarantaine Area,45
Heiligenblut Safe Zone,Hohenwerfen Castle,37
Heiligenblut Safe Zone,Saalbach Hinterglemm Isolation Zone,25
Heiligenblut Safe Zone,Traunsee Island community,86
Heiligenblut Safe Zone,Villach Botanical Garden,76
Heiligenblut Safe Zone,Rattenberg Glass Fortress,67
Heiligenblut Safe Zone,Hochburg Ach Castle,70
Grossglockner Mountain Community,Innsbruck Old Town,87
Grossglockner Mountain Community,Hallstatt Village Perimeter,71
Grossglockner Mountain Community,Salzkammergut Lake District,73
Grossglockner Mountain Community,Hall in Tirol Medical Center,81
Grossglockner Mountain Community,Zell am See Valley of Serenity,19
Grossglockner Mountain Community,Hohensalzburg Castle,54
Grossglockner Mountain Community,Kufstein Fortress,49
Grossglockner Mountain Community,Mondsee Waterfront Perimeter,68
Grossglockner Mountain Community,Eisriesenwelt Ice Cave,51
Grossglockner Mountain Community,Salzburg Cathedral,54
Grossglockner Mountain Community,Hallein Salt Mine,49
Grossglockner Mountain Community,Alpbach Village Towers,54
Grossglockner Mountain Community,Werfen Ice Caves,42
Grossglockner Mountain Community,Kitzbuhel Town,32
Grossglockner Mountain Community,Hinterglemm Village,23
Grossglockner Mountain Community,Fuschl am See,65
Grossglockner Mountain Community,Ellmau Village Quarantaine Area,40
Grossglockner Mountain Community,Hohenwerfen Castle,43
Grossglockner Mountain Community,Saalbach Hinterglemm Isolation Zone,22
Grossglockner Mountain Community,Villach Botanical Garden,84
Grossglockner Mountain Community,Rattenberg Glass Fortress,60
Grossglockner Mountain Community,Hochburg Ach Castle,73
Grossglockner Mountain Community,Heiligenblut Safe Zone,9
Mallnitz Welcomes all,Hallstatt Village Perimeter,48
Mallnitz Welcomes all,Salzkammergut Lake District,55
Mallnitz Welcomes all,Zell am See Valley of Serenity,32
Mallnitz Welcomes all,Klagenfurt Cathedral Zone,80
Mallnitz Welcomes all,Hohensalzburg Castle,52
Mallnitz Welcomes all,Kufstein Fortress,76
Mallnitz Welcomes all,Mondsee Waterfront Perimeter,56
Mallnitz Welcomes all,Eisriesenwelt Ice Cave,37
Mallnitz Welcomes all,Salzburg Cathedral,52
Mallnitz Welcomes all,Hallein Salt Mine,44
Mallnitz Welcomes all,Alpbach Village Towers,85
Mallnitz Welcomes all,Werfen Ice Caves,30
Mallnitz Welcomes all,Kitzbuhel Town,59
Mallnitz Welcomes all,Hinterglemm Village,47
Mallnitz Welcomes all,Fuschl am See,53
Mallnitz Welcomes all,Ellmau Village Quarantaine Area,66
Mallnitz Welcomes all,Hohenwerfen Castle,31
Mallnitz Welcomes all,Saalbach Hinterglemm Isolation Zone,43
Mallnitz Welcomes all,Traunsee Island community,72
Mallnitz Welcomes all,Friesach Castle,83
Mallnitz Welcomes all,Villach Botanical Garden,54
Mallnitz Welcomes all,Rattenberg Glass Fortress,90
Mallnitz Welcomes all,Worthersee,73
Mallnitz Welcomes all,Hochburg Ach Castle,70
Mallnitz Welcomes all,Heiligenblut Safe Zone,24
Mallnitz Welcomes all,Grossglockner Mountain Community,32
Nockberge Biosphere Reserve,Hallstatt Village Perimeter,42
Nockberge Biosphere Reserve,Salzkammergut Lake District,57
Nockberge Biosphere Reserve,Zell am See Valley of Serenity,71
Nockberge Biosphere Reserve,Klagenfurt Cathedral Zone,41
Nockberge Biosphere Reserve,Hohensalzburg Castle,75
Nockberge Biosphere Reserve,Mondsee Waterfront Perimeter,67
Nockberge Biosphere Reserve,Eisriesenwelt Ice Cave,54
Nockberge Biosphere Reserve,Stiftsbibliothek Admont Preservation,58
Nockberge Biosphere Reserve,Salzburg Cathedral,75
Nockberge Biosphere Reserve,Hallein Salt Mine,67
Nockberge Biosphere Reserve,Werfen Ice Caves,54
Nockberge Biosphere Reserve,Piber Stud Farm Zone,90
Nockberge Biosphere Reserve,Hochosterwitz Castle,54
Nockberge Biosphere Reserve,Hinterglemm Village,86
Nockberge Biosphere Reserve,Fuschl am See,65
Nockberge Biosphere Reserve,Hohenwerfen Castle,54
Nockberge Biosphere Reserve,Saalbach Hinterglemm Isolation Zone,82
Nockberge Biosphere Reserve,Steyr Fortified Old Town,83
Nockberge Biosphere Reserve,Traunsee Island community,63
Nockberge Biosphere Reserve,Friesach Castle,41
Nockberge Biosphere Reserve,Villach Botanical Garden,23
Nockberge Biosphere Reserve,Worthersee,35
Nockberge Biosphere Reserve,Hochburg Ach Castle,87
Nockberge Biosphere Reserve,Fohnsdorf Reinstated Ruin and Coalmine Zone,60
Nockberge Biosphere Reserve,Heiligenblut Safe Zone,66
Nockberge Biosphere Reserve,Grossglockner Mountain Community,74
Nockberge Biosphere Reserve,Mallnitz Welcomes all,42
Lienz Defense Works,Hallstatt Village Perimeter,76
Lienz Defense Works,Salzkammergut Lake District,81
Lienz Defense Works,Hall in Tirol Medical Center,89
Lienz Defense Works,Zell am See Valley of Serenity,33
Lienz Defense Works,Hohensalzburg Castle,67
Lienz Defense Works,Kufstein Fortress,64
Lienz Defense Works,Mondsee Waterfront Perimeter,78
